Rank,Sourceid,Title,Type,Issn,SJR,SJR Quartile,H index,Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Country,Region,Publisher,Coverage,Categories,Year
457,21100836194,ICT Express,journal,24059595,0.144,Q4,27,29,542,30,29,1.03,13.55,South Korea,Asiatic Region,Korean Institute of Communications Information Sciences,2015-2021,Artificial Intelligence (Q4); Computer Networks and Communications (Q4); Hardware and Architecture (Q4); Information Systems (Q4); Software (Q4),2016
475,21100454976,"Journal of Automation, Mobile Robotics and Intelligent Systems",journal,"20802145, 18978649",0.141,Q4,9,35,730,15,34,0.43,22.81,Poland,Eastern Europe,Industrial Research Institute for Automation and Measurements,2015-2021,Artificial Intelligence (Q4); Control and Systems Engineering (Q4); Signal Processing (Q4),2016
498,21100440516,International Journal of Computer Information Systems and Industrial Management Applications,journal,21507988,0.138,Q4,8,17,708,6,17,0.35,28.32,United States,Northern America,,2015-2021,Artificial Intelligence (Q4); Computer Vision and Pattern Recognition (Q4); Information Systems (Q4); Management Information Systems (Q4); Signal Processing (Q4); Strategy and Management (Q4),2016
499,5800207596,Linguistica,journal,"2079312X, 11320214",0.138,Q4,4,58,348,4,50,0.03,21.75,Uruguay,Latin America,Asociacion de Linguistica y Filologia de la America Latina,2012-2021,Linguistics and Language (Q3); Artificial Intelligence (Q4),2016
511,25507,Informatica (Slovenia),journal,"18543871, 03505596",0.136,Q4,36,145,1090,92,136,0.39,21.8,Slovenia,Eastern Europe,Slovene Society Informatika,1995-2021,Artificial Intelligence (Q4); Computer Science Applications (Q4); Software (Q4); Theoretical Computer Science (Q4),2016
512,24805,"Neural, Parallel and Scientific Computations (discontinued)",journal,10615369,0.136,Q4,12,103,245,12,101,0.09,22.27,United States,Northern America,Dynamic Publishers,2004-2016,Applied Mathematics (Q4); Artificial Intelligence (Q4); Computer Networks and Communications (Q4); Software (Q4); Theoretical Computer Science (Q4),2016
533,24847,Revue d'Intelligence Artificielle,journal,0992499X,0.133,Q4,15,87,923,11,76,0.13,28.84,France,Western Europe,Lavoisier,1995-2021,Artificial Intelligence (Q4); Software (Q4),2016
559,19900192593,International Journal of Machine Consciousness,journal,"17938473, 17938430",0.129,Q4,15,31,0,13,29,0.44,0.0,Singapore,Asiatic Region,World Scientific Publishing Co. Pte Ltd,2009-2014,Artificial Intelligence (Q4),2016
570,21100327713,International Journal of Automation and Smart Technology,journal,22239766,0.128,Q4,11,105,555,33,98,0.37,22.2,Taiwan,Asiatic Region,Chinese Institute of Automation Engineers (CIAE),2011-2020,Artificial Intelligence (Q4); Control and Systems Engineering (Q4); Electrical and Electronic Engineering (Q4); Hardware and Architecture (Q4); Human-Computer Interaction (Q4); Signal Processing (Q4),2016
649,21100325719,International Journal of Mechatronics and Automation,journal,"20451059, 20451067",0.119,Q4,15,46,115,36,46,0.9,19.17,Switzerland,Western Europe,Inderscience Publishers,"2011, 2014-2018, 2020-2021",Industrial and Manufacturing Engineering (Q3); Artificial Intelligence (Q4); Computational Mathematics (Q4); Computational Mechanics (Q4); Control and Systems Engineering (Q4); Electrical and Electronic Engineering (Q4),2016
683,21100284977,International Journal of Intelligent Mechatronics and Robotics,journal,"21561656, 21561664",0.116,Q4,7,19,0,6,19,0.0,0.0,United States,Northern America,IGI Global Publishing,2011-2013,Industrial and Manufacturing Engineering (Q3); Artificial Intelligence (Q4); Control and Systems Engineering (Q4); Mechanical Engineering (Q4),2016
711,21100818502,Journal of Information Systems and Telecommunication,journal,"23221437, 23452773",0.113,Q4,7,91,959,25,91,0.16,29.97,Iran,Middle East,"Iranian Academic Center for Education, Culture and Research",2013-2021,Artificial Intelligence (Q4); Computer Networks and Communications (Q4); Computer Science Applications (Q4); Computer Vision and Pattern Recognition (Q4); Information Systems (Q4),2016
756,21100286449,Civil-Comp Proceedings,journal,17593433,0.11,Q4,13,1527,4711,85,1523,0.06,14.23,United Kingdom,Western Europe,Civil-Comp Press,"2003, 2005-2017",Artificial Intelligence (Q4); Civil and Structural Engineering (Q4); Computational Theory and Mathematics (Q4); Environmental Engineering (Q4),2016
798,21100431313,Advanced Information and Knowledge Processing,book series,"21978441, 16103947",0.106,Q4,16,214,622,29,4,0.12,21.45,United States,Northern America,Springer Science + Business Media,"2006-2017, 2019-2021",Artificial Intelligence (Q4); Information Systems (Q4); Information Systems and Management (Q4); Management Information Systems (Q4),2016
805,145264,Transactions of the Japanese Society for Artificial Intelligence,journal,13460714,0.106,Q4,17,175,1083,31,175,0.17,16.92,Japan,Asiatic Region,Japanese Society for Artificial Intelligence,2001-2021,Artificial Intelligence (Q4); Software (Q4),2016
825,6700153285,International Journal of Mobile Network Design and Innovation,journal,"17442869, 17442850",0.104,Q4,11,38,261,6,37,0.15,20.08,United Kingdom,Western Europe,Inderscience Enterprises Ltd,"2006-2007, 2009-2020",Artificial Intelligence (Q4); Computer Networks and Communications (Q4); Management Information Systems (Q4); Software (Q4),2016
926,21100783205,Horizon. Studies in Phenomenology,journal,"23116986, 22265260",0.1,-,3,80,707,10,75,0.14,20.2,Russian Federation,Eastern Europe,Saint Petersburg State University,2012-2018,Philosophy (Q4),2016
940,21101023806,Annals of Data Science,journal,"21985812, 21985804",0.0,-,17,58,830,30,56,0.52,31.92,Germany,Western Europe,Springer Science and Business Media Deutschland GmbH,2014-2021,"Artificial Intelligence; Business, Management and Accounting (miscellaneous); Computer Science Applications; Statistics, Probability and Uncertainty",2016
941,21100821307,Applied Computational Intelligence and Soft Computing,journal,"16879724, 16879732",0.0,-,15,0,71,0,0,0.0,35.5,Egypt,Africa/Middle East,Hindawi Limited,2016-2021,Artificial Intelligence; Civil and Structural Engineering; Computational Mechanics; Computer Networks and Communications; Computer Science Applications,2016
942,21100869486,Computational Visual Media,journal,"20960662, 20960433",0.0,-,18,31,981,43,30,1.39,30.66,China,Asiatic Region,Tsinghua University Press,2015-2021,Artificial Intelligence; Computer Graphics and Computer-Aided Design; Computer Vision and Pattern Recognition,2016
943,21100818722,Cybernetics and Physics,journal,"22237038, 22264116",0.0,-,9,0,330,0,0,0.0,20.63,Russian Federation,Eastern Europe,"Institute of Problems of Mechanical Engineering, Russian Academy of Sciences",2016-2021,Artificial Intelligence; Computer Vision and Pattern Recognition; Control and Optimization; Fluid Flow and Transfer Processes; Physics and Astronomy (miscellaneous); Signal Processing,2016
944,21100893766,Frontiers in ICT,journal,2297198X,0.0,-,19,30,1684,55,28,1.83,48.11,Switzerland,Western Europe,Frontiers Media S.A.,2014-2020,Artificial Intelligence; Computer Networks and Communications; Hardware and Architecture; Information Systems; Software,2016
945,21100868821,Frontiers in Robotics and AI,journal,22969144,0.0,-,37,31,4221,60,30,1.94,54.12,Switzerland,Western Europe,Frontiers Media S.A.,2015-2021,Artificial Intelligence; Computer Science Applications,2016
946,21101048344,Granular Computing,journal,"23644974, 23644966",0.0,-,36,0,1025,0,0,0.0,53.95,Switzerland,Western Europe,Springer Nature Switzerland AG,2016-2021,Artificial Intelligence; Computer Science Applications; Information Systems,2016
947,21100900379,IEEE Robotics and Automation Letters,journal,23773766,0.0,-,63,0,4172,0,0,0.0,26.41,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2016-2021,Artificial Intelligence; Biomedical Engineering; Computer Science Applications; Computer Vision and Pattern Recognition; Control and Optimization; Control and Systems Engineering; Human-Computer Interaction; Mechanical Engineering,2016
948,21100854831,IEEE Transactions on Cognitive Communications and Networking,journal,23327731,0.0,-,33,35,301,39,33,1.11,60.2,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2015-2021,Artificial Intelligence; Computer Networks and Communications; Hardware and Architecture,2016
949,21101013582,IEEE Transactions on Games,journal,"24751510, 24751502",0.0,-,46,98,1157,301,94,2.56,29.67,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2018-2021,Artificial Intelligence; Control and Systems Engineering; Electrical and Electronic Engineering; Software,2016
950,21100976127,IEEE Transactions on Intelligent Vehicles,journal,23798858,0.0,-,31,0,1655,0,0,0.0,51.72,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2016-2021,Artificial Intelligence; Automotive Engineering; Control and Optimization,2016
951,21100890645,International Journal of Advances in Intelligent Informatics,journal,"25483161, 24426571",0.0,-,12,18,357,8,18,0.44,23.8,Indonesia,Asiatic Region,Universitas Ahmad Dahlan,2015-2021,Artificial Intelligence; Computer Vision and Pattern Recognition; Human-Computer Interaction,2016
952,21100890383,International Journal of Computing and Digital Systems,journal,2210142X,0.0,-,10,81,1222,40,80,0.54,27.16,Bahrain,Middle East,University of Bahrain,2012-2021,Artificial Intelligence; Computer Graphics and Computer-Aided Design; Computer Networks and Communications; Human-Computer Interaction; Information Systems; Management of Technology and Innovation,2016
953,21100787766,International Journal of Intelligent Systems and Applications (discontinued),journal,"20749058, 2074904X",0.0,-,19,0,3163,0,0,0.0,31.01,China,Asiatic Region,Modern Education and Computer Science Press,2016-2018,Artificial Intelligence; Computer Networks and Communications; Computer Science Applications; Control and Optimization; Human-Computer Interaction; Modeling and Simulation; Signal Processing,2016
954,21100788860,International Journal of Mechanical Engineering and Robotics Research,journal,22780149,0.0,-,12,0,883,0,0,0.0,14.24,India,Asiatic Region,,2016-2021,Artificial Intelligence; Control and Systems Engineering; Mechanical Engineering,2016
955,21100872796,International Journal of Semantic Computing,journal,"17937108, 1793351X",0.0,-,18,74,936,31,66,0.22,32.28,Singapore,Asiatic Region,World Scientific Publishing Co. Pte Ltd,2007-2021,Artificial Intelligence; Computer Networks and Communications; Computer Science Applications; Information Systems; Linguistics and Language; Software,2016
956,21100853929,International Journal of Systematic Innovation,journal,"20778767, 20777973",0.0,-,5,24,88,0,24,0.0,11.0,Taiwan,Asiatic Region,The Society of Systematic Innovation,2010-2021,Artificial Intelligence; Information Systems and Management; Management of Technology and Innovation; Organizational Behavior and Human Resource Management; Strategy and Management,2016
957,21100792090,Journal of Artificial Intelligence and Soft Computing Research,journal,"24496499, 20832567",0.0,-,22,21,507,108,21,5.3,25.35,Poland,Eastern Europe,De Gruyter Open Ltd.,"2013, 2015-2021",Artificial Intelligence; Computer Vision and Pattern Recognition; Hardware and Architecture; Information Systems; Modeling and Simulation,2016
958,21100792504,Journal of Cognitive Science,journal,"15982327, 19766939",0.0,-,4,0,1118,0,0,0.0,50.82,South Korea,Asiatic Region,Institute for Cognitive Science at Seoul National University,2016-2021,Artificial Intelligence; Cognitive Neuroscience; Experimental and Cognitive Psychology; Linguistics and Language,2016
959,21100873335,Journal of Control and Decision,journal,"23307714, 23307706",0.0,-,16,32,566,46,31,1.44,37.73,United Kingdom,Western Europe,Taylor and Francis Ltd.,2014-2021,Artificial Intelligence; Computer Networks and Communications; Control and Optimization; Control and Systems Engineering; Human-Computer Interaction; Information Systems; Signal Processing,2016
960,21101033264,Journal of Forensic Document Examination,journal,"08950849, 26400677",0.0,-,3,11,206,3,7,0.27,68.67,United States,Northern America,Association of Forensic Document Examiners,2014-2019,Artificial Intelligence; Arts and Humanities (miscellaneous); Cognitive Neuroscience; Computational Theory and Mathematics; Computer Graphics and Computer-Aided Design; Computer Science Applications; Computer Vision and Pattern Recognition,2016
961,21100901156,Journal of Reliable Intelligent Environments,journal,"21994668, 21994676",0.0,-,14,14,547,11,12,0.79,28.79,Switzerland,Western Europe,Springer International Publishing AG,2015-2021,"Computer Science (miscellaneous); Renewable Energy, Sustainability and the Environment",2016
962,21101017166,KI - Kunstliche Intelligenz,journal,"16101987, 09331875",0.0,-,23,150,1064,116,107,0.8,19.7,Switzerland,Western Europe,Springer Nature Switzerland AG,2010-2021,Artificial Intelligence,2016
963,21100810658,Paladyn,journal,20814836,0.0,-,11,0,163,0,0,0.0,27.17,Poland,Eastern Europe,De Gruyter Open Ltd.,2016-2021,Artificial Intelligence; Behavioral Neuroscience; Cognitive Neuroscience; Developmental Neuroscience; Human-Computer Interaction,2016
964,21100781972,Progress in Artificial Intelligence,journal,"21926360, 21926352",0.0,-,22,36,1099,46,35,1.21,36.63,Germany,Western Europe,Springer Nature,2012-2021,Artificial Intelligence,2016
965,21101037310,Register: Jurnal Ilmiah Teknologi Sistem Informasi,journal,"25023357, 25030477",0.0,-,4,5,142,1,5,0.2,10.14,Indonesia,Asiatic Region,Universitas Pesantren Tinggi Darul Ulum,2015-2022,Artificial Intelligence; Computer Science (miscellaneous); Decision Sciences (miscellaneous); Information Systems; Information Systems and Management,2016
966,21100833833,Robotics,journal,22186581,0.0,-,26,56,1149,120,53,2.31,44.19,Switzerland,Western Europe,MDPI AG,2012-2021,Artificial Intelligence; Control and Optimization; Mechanical Engineering,2016
967,21100886132,Science Robotics,journal,24709476,0.0,-,66,0,286,0,0,0.0,47.67,United States,Northern America,American Association for the Advancement of Science,2016-2021,Artificial Intelligence; Computer Science Applications; Control and Optimization; Mechanical Engineering,2016
968,21101022415,Spatial Information Research,journal,23663294,0.0,-,15,0,1563,0,0,0.0,23.33,Singapore,Asiatic Region,Springer Science + Business Media,2016-2021,"Artificial Intelligence; Computer Science Applications; Computers in Earth Sciences; Geography, Planning and Development",2016
969,21100793186,SPIIRAS Proceedings,journal,"20789181, 20789599",0.0,-,11,0,1623,0,0,0.0,22.23,Russian Federation,Eastern Europe,St. Petersburg Institute for Informatics and Automation of the Russian academy of sciences,2016-2021,Applied Mathematics; Artificial Intelligence; Computational Mathematics; Computational Theory and Mathematics; Computer Networks and Communications; Computer Science Applications; Control and Systems Engineering; Information Systems,2016
970,21101054326,Studies in Big Data,book series,"21976511, 21976503",0.0,-,7,0,1133,0,0,0.0,56.65,Germany,Western Europe,Springer Science and Business Media Deutschland GmbH,2021,Artificial Intelligence; Computer Science Applications; Control and Systems Engineering; Engineering (miscellaneous),2016
